description,pallets,weight,cube
PLT-12-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-11-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-10-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-9-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-8-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-7-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-6-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-5-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-4-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-3-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-2-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-1-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-20-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-19-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-29-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-28-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-27-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-26-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-25-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-24-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-23-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-22-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-21-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-20-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-19-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-18-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-17-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-16-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-15-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-14-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-13-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-12-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-11-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-10-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-9-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-8-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-7-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-6-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-5-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-4-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-3-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-2-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-1-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-21-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-20-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-19-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-18-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-17-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-16-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-84-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,612.44,48.73
PLT-83-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-82-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-81-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-80-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-15-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,338.19,27.55
PLT-14-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-13-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-12-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-11-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-10-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-9-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-8-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-7-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-6-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-5-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-4-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-3-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-2-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-1-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-18-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-17-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-16-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-15-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-14-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-15-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-20-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-19-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-18-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-17-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-16-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-14-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-13-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-12-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-11-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-10-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-9-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-8-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-7-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-6-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-5-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-4-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-3-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-2-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-1-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
GENERAL CARGO,1,86,24.44
GENERAL CARGO,1,77,24.44
GENERAL CARGO,6,2033,303.33
GENERAL CARGO,2,960,127.78
PLT-5-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-4-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-3-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-2-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-1-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-7-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-6-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-5-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-4-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-3-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-2-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-1-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-8-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-7-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-6-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-5-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-4-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-3-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-2-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-1-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.83,81.79
PLT-11-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,507.17,36.02
PLT-10-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1060.53,81.79
PLT-9-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1060.53,81.79
PLT-8-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1060.53,81.79
PLT-7-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1060.53,81.79
PLT-6-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1060.53,81.79
PLT-5-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1060.53,81.79
PLT-4-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1060.53,81.79
PLT-3-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1060.53,81.79
PLT-2-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1060.53,81.79
PLT-1-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1060.53,81.79
PLT-27-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1060.53,81.79
PLT-26-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1060.53,81.79
PLT-25-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1060.53,81.79
PLT-24-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1060.53,81.79
PLT-23-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1060.53,81.79
PLT-22-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1060.53,81.79
PLT-21-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1060.53,81.79
PLT-20-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1060.53,81.79
PLT-19-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1060.53,81.79
Regular cargo,1,46,18.89
GROCERY ITEMS,1,28.4,26.6
PLT-13-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-12-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-11-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-10-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-9-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-8-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-7-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-6-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-5-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-4-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-3-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-2-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-1-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-24-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-23-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-22-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-21-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-20-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-19-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-18-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-20-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.8,81.79
PLT-19-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.8,81.79
PLT-18-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.8,81.79
PLT-17-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.8,81.79
PLT-16-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.8,81.79
PLT-15-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.8,81.79
PLT-14-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.8,81.79
PLT-13-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.8,81.79
PLT-12-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-11-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-10-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-9-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-8-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-7-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-6-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-5-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-4-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-3-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PLT-2-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
PTL1-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.82,81.79
REFRIGERATED product,5,7930,274.44
REFRIGERATED product,1,113.75,26.6
GROCERY ITEMS,2,2706,137.7
CHOCOLATE,4,5784,204.44
GENERAL CARGO,5,3112,323.33
GROCERY ITEMS,21,42859,1162.2
REFRIGERATED PRODUCT,9,8688,545.56
REFRIGERATED PRODUCT,21,46440,0
GENERAL CARGO,1,515,168.8
REFRIGERATED product,4,3680,226.6
GENERAL CARGO,3,1343,420
REFRIGERATED product,1,1960,76.6
GENERAL CARGO,1,1265,56.6
dry,12,13339,502.2
GENERAL CARGO,4,4435,360
fronzen,2,1458,188.8
REFRIGERATED PRODUCT,7,12442,474.45
REFRIGERATED product,8,9500,492.22
REFRIGERATED PRODUCT,18,23218,1220
GROCERY ITEMS,4,9720,200
GENERAL CARGO,1,80,17.7
REFRIGERATED product,3,2567,127.7
GENERAL CARGO,1,74,22.2
REFRIGERATED PRODUCT,4,2604,107.1
REFRIGERATED product,2,1214,87.78
GENERAL CARGO,57,17350,2347.78
REFRIGERATED,3,3588,233.3
REFRIGERATED product,1,881,37.78
REFRIGERATED PRODUCT,1,1734.88,0
FROZEN PRODUCT,1,896.5,61.11
PLT- 17-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,657,62.22
PLT- 16-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1026,83.33
PLT- 15-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1012,83.33
PLT- 14-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1017,83.33
PLT- 13-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1018,83.33
PLT- 12-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1015,83.33
PLT- 11-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1022,83.33
PLT- 10-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1022,83.33
PLT- 9-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1021,83.33
PLT- 8-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,883,72.22
PLT- 7-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1018,83.33
PLT- 6-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1021,83.33
PLT- 5-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1025,83.33
PLT- 4-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1030,83.33
PLT- 3-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1017,83.33
PLT- 2-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1022,83.33
PLT- 1-ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1022,83.33
REFRIGERATED PRODUCT,10,9894,431.1
Grocery merchandise,19,24810,947.22
cheese,2,1414,62.2
bry,51,38556,2708.89
Frozen Papa Amarilla,1,164,15.56
GROCERY ITEMS,5,589,120
frozen product,1,1178,54.4
GROCERY MERCHANDISE,16,36780,1062.22
GENERAL CARGO,1,40,15.56
REFRIGERATED product,2,1626,103.33
GENERAL CARGO,16,7466,1125.04
REFRIGERATED product,8,9446,425.56
GROCERY ITEMS,4,6480,204.44
P-44ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,464.39,645.83
P-43ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,464.4,645.83
P-42ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,464.39,645.83
P-41ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,464.39,645.83
P-40ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,464.39,645.83
P-39ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,464.39,645.83
P-38ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,464.39,645.83
P-37ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,464.4,645.83
P-36ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,464.39,645.83
P-35ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,464.39,645.83
P-34ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,464.39,645.83
P-33ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,464.39,645.83
P-32ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,464.39,645.83
P-31ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,464.4,645.83
P-30ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,464.39,645.83
P-29ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,464.39,645.83
P-28ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,464.39,645.83
P-27ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,464.39,645.83
P-26ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.8,645.83
P-25ELECTRONIC ATOMIZER /IT INCLUDE E-LIQUID BUT NO BATTERY,1,1023.8,645.83
REGULAR CARGO,1,810,98.89
REFRIGERATED PRODUCT,5,7457,330
Sargent Cheese Mozz-Asiago,1,514,31.1
Dry Supplies,8,6089,306.6
NFL GLOBAL,9,6362,623.56
Frozen product,3,422,47.78
Frozen product,3,2187,138.89
Grabo Estillo,1,51,8.89
cp nutrition srl,8,3168,412.22
GENERAL CARGO,1,43,13.33
GROCERY ITEMS,9,5922,414.44
GENERAL CARGO,1,900,77.58
GROCERY MERCHANDISE,12,5365,688.89
American foods,2,926,80
Regular Cargo,1,250,68.44
REFRIGERATED product,5,5930,360
GENERAL CARGO,2,2536.96,80
GENERAL CARGO,1,2071,93.3
GENERAL DESCRIPTION,1,553,34.4
GENERAL CARGO,4,1968,260
GENERAL CARGO,4,3675,246.6
GENERAL CARGO,5,1965,244.4
GENERAL CARGO,4,4312,185.5
ccn,8,2012,396.67
GENERAL CARGO,2,652,66.6
GENERAL CARGO,4,3287,173.3
GENERAL CARGO,5,1368,271.1
GENERAL CARGO,3,2640,136.6
GENERAL CARGO,3,3048,151.1
GENERAL CARGO,4,3327,127.7
GENERAL CARGO,5,1833,208.8
REFRIGERATED product,3,2094,576.1
REFRIGERATED product,2,2131,653.8
REFRIGERATED product,3,2525,394.7
GENERAL CARGO,1,2605,82.2
GENERAL CARGO,3,1692,137.7
GENERAL CARGO,1,1561,85.5
GENERAL CARGO,11,1784,738.44
